Point Mass X,Point Mass Y,Fixed Point 1 X,Fixed Point 1 Y,Fixed Point 2 X,Fixed Point 2 Y,Fixed Point 3 X,Fixed Point 3 Y,Convergence Point,Convergence Time
54,25,23,78,89,21,90,37,2,0.8877389430999756
41,13,0,43,42,43,10,77,1,2.77315616607666
46,49,5,75,94,67,77,48,2,2.385510206222534
8,70,53,3,69,18,18,42,2,0.3466978073120117
20,39,42,63,98,68,44,50,0,1.8578848838806152
1,22,28,23,21,59,99,67,0,0.8653383255004883
27,70,25,7,22,59,61,60,1,0.12361431121826172
62,80,96,99,4,74,37,31,0,1.1346886157989502
82,75,15,42,44,52,94,33,1,1.4003040790557861
53,51,67,76,81,49,72,78,0,1.1858792304992676
17,72,69,96,21,84,76,12,1,0.12964534759521484
72,78,76,14,4,0,87,60,2,0.26851987838745117
75,42,20,82,89,83,12,9,0,17.423146724700928
10,91,97,3,56,59,79,17,1,0.7102475166320801
54,82,98,60,99,81,82,45,0,0.4246034622192383
55,40,76,76,3,36,11,52,1,2.4079196453094482
18,43,83,64,44,95,10,78,2,2.48541259765625
37,50,76,21,41,43,94,80,1,0.07877182960510254
98,29,90,94,86,30,35,0,1,0.1235194206237793
74,10,36,68,21,35,35,77,2,3.8308403491973877
86,39,52,72,45,32,53,79,1,2.2064831256866455
63,34,37,69,29,30,23,47,2,1.9252705574035645
83,93,87,61,71,34,44,86,1,2.8111579418182373
83,75,77,91,55,50,31,80,0,0.4775710105895996
19,86,63,50,36,53,37,60,2,0.27963900566101074
81,11,53,81,19,53,59,37,2,0.3717343807220459
18,81,58,93,40,26,15,23,2,1.2742466926574707
14,88,29,89,41,5,69,66,0,0.1588144302368164
81,51,32,69,89,2,67,3,2,0.5788624286651611
22,31,27,22,62,26,26,100,0,0.10541439056396484
77,33,88,69,43,61,52,25,2,1.2763469219207764
61,76,77,38,100,28,29,58,1,0.8619039058685303
68,11,67,99,76,56,72,74,1,0.4771125316619873
99,14,47,67,74,3,74,5,2,0.22740578651428223
3,54,62,68,25,97,55,20,0,5.494141578674316
100,57,71,72,49,18,70,14,0,2.296046018600464
31,31,78,18,85,28,78,20,2,0.42479372024536133
59,74,96,98,68,18,28,9,1,1.4359138011932373
3,1,49,91,38,22,83,79,1,0.5028882026672363
94,94,96,22,18,10,19,10,0,4.879929542541504
33,15,52,31,8,52,57,27,0,0.22245049476623535
51,82,66,27,47,70,100,49,1,0.13044404983520508
87,99,69,34,16,87,84,5,0,2.004378080368042
14,77,31,30,41,96,1,91,2,1.1756181716918945
60,15,51,79,43,48,24,42,1,1.7472290992736816
4,82,26,91,81,17,2,87,2,0.05190157890319824
83,40,14,52,82,77,8,30,0,2.8179802894592285
24,14,58,99,60,71,82,54,2,6.007355451583862
52,0,10,60,92,12,44,66,0,2.1285581588745117
2,22,89,29,22,15,92,60,1,0.23167014122009277
77,15,62,71,4,74,86,76,1,2.3138339519500732
99,75,46,58,17,43,0,13,0,0.6694419384002686
85,22,20,67,86,66,86,89,1,1.4721381664276123
11,18,15,94,62,37,28,73,2,3.8267786502838135
32,7,14,92,11,94,54,54,0,3.6728179454803467
88,21,66,19,77,96,34,0,0,0.23981451988220215
1,49,7,77,17,58,17,2,1,0.19054865837097168
26,54,18,18,80,23,97,86,1,2.5784242153167725
25,49,51,93,9,27,82,76,1,0.4530353546142578
71,86,96,68,55,75,42,13,1,1.7905540466308594
51,31,47,60,0,52,82,39,2,2.16300368309021
92,41,63,21,58,83,31,89,1,2.211247444152832
46,30,58,55,53,92,62,98,0,0.29582786560058594
39,85,61,47,10,62,21,95,1,0.7946670055389404
82,23,22,82,44,9,99,75,1,3.5042049884796143
91,48,23,34,74,75,58,49,0,0.782994270324707
34,68,47,0,25,21,27,79,2,0.14975547790527344
56,48,71,67,46,91,83,81,2,0.3099391460418701
23,17,13,46,74,86,13,6,2,0.19208598136901855
